Nazwisko;Klub;Sezon
Agata Babicz;Grot Budowlani £ódŸ;2019/2020
Paulina Ba³dyga;Grot Budowlani £ódŸ;2019/2020
Kaiyi Ren;Grot Budowlani £ódŸ;2019/2020
Anna Lewandowska;Grot Budowlani £ódŸ;2019/2020
Karolina Garstka;Grot Budowlani £ódŸ;2019/2020
Anna B¹czyñska;Grot Budowlani £ódŸ;2019/2020
Ewelina Polak;Grupa Azoty Chemik Police;2019/2020
Martyna Grajber;Grupa Azoty Chemik Police;2019/2020
Iryna Trushkina;Grupa Azoty Chemik Police;2019/2020
Marlena Kowalewska;Grupa Azoty Chemik Police;2019/2020
Agnieszka Bednarek;Grupa Azoty Chemik Police;2019/2020
Katarzyna Po³eæ;Grupa Azoty Chemik Police;2019/2020
Pola Nowakowska;Grupa Azoty Chemik Police;2019/2020
Iga Wasilewska;Grupa Azoty Chemik Police;2019/2020
Wilma Salas Rosell;Grupa Azoty Chemik Police;2019/2020
Martyna £ukasik;Grupa Azoty Chemik Police;2019/2020
Paulina Maj-Erwardt;Grupa Azoty Chemik Police;2019/2020
Natalia Mêdrzyk;Grupa Azoty Chemik Police;2019/2020
Gyselle Silva Franco;Grupa Azoty Chemik Police;2019/2020
Eva Mori;£KS Commercecon £ódŸ;2019/2020
Ewa Kwiatkowska;£KS Commercecon £ódŸ;2019/2020
Joanna Pacak;£KS Commercecon £ódŸ;2019/2020
Natalia Skrzypkowska;£KS Commercecon £ódŸ;2019/2020
Aleksandra Wójcik;£KS Commercecon £ódŸ;2019/2020
Daria Szczyrba;£KS Commercecon £ódŸ;2019/2020
Katarina Lazoviæ;£KS Commercecon £ódŸ;2019/2020
Klaudia Gajewska;£KS Commercecon £ódŸ;2019/2020
Monika Ga³kowska;£KS Commercecon £ódŸ;2019/2020
Krystyna Strasz;£KS Commercecon £ódŸ;2019/2020
Izabela Kowaliñska;£KS Commercecon £ódŸ;2019/2020
Klaudia Alagierska-Szczepaniak;£KS Commercecon £ódŸ;2019/2020
Anna Korabiec;£KS Commercecon £ódŸ;2019/2020
Oliwia Laszczyk;£KS Commercecon £ódŸ;2019/2020
Valeria Caracuta;£KS Commercecon £ódŸ;2019/2020
Weronika Kraszewska;Wis³a Warszawa;2019/2020
Katarzyna Marcyniuk;Wis³a Warszawa;2019/2020
Agnieszka Banasiak;Wis³a Warszawa;2019/2020
Katarzyna Urbanowicz;Wis³a Warszawa;2019/2020
Ewelina Miko³ajewska;Wis³a Warszawa;2019/2020
Aleksandra Szymañska;Wis³a Warszawa;2019/2020
Paulina Biranowska;Wis³a Warszawa;2019/2020
Ma³gorzata Zaciek;Wis³a Warszawa;2019/2020
Monika Lipiñska-Jeziorowska;Wis³a Warszawa;2019/2020
Anna Widera;Wis³a Warszawa;2019/2020
Marta Wellna;#VolleyWroc³aw;2020/2021
Kamila Witkowska;#VolleyWroc³aw;2020/2021
Aleksandra Gancarz;#VolleyWroc³aw;2020/2021
Julia Pañko;#VolleyWroc³aw;2020/2021
Weronika Wo³odko;#VolleyWroc³aw;2020/2021
Joanna Chor¹¿a;#VolleyWroc³aw;2020/2021
Natalia Murek;#VolleyWroc³aw;2020/2021
Agnieszka Adamek;#VolleyWroc³aw;2020/2021
Adrianna Szady;#VolleyWroc³aw;2020/2021
Ma³gorzata Jasek;#VolleyWroc³aw;2020/2021
Karolina Pancewicz;#VolleyWroc³aw;2020/2021
Izabella Rapacz;#VolleyWroc³aw;2020/2021
Anna B¹czyñska;#VolleyWroc³aw;2020/2021
Karolina Fedorek;#VolleyWroc³aw;2020/2021
Paula Czerwiñska;#VolleyWroc³aw;2020/2021
Julia Kleszcz;#VolleyWroc³aw;2020/2021
Aleksandra Kaza³a;BKS BOSTIK Bielsko-Bia³a;2020/2021
Aleksandra Szczyg³owska;BKS BOSTIK Bielsko-Bia³a;2020/2021
Karolina Dru¿kowska;BKS BOSTIK Bielsko-Bia³a;2020/2021
Katarzyna Wawrzyniak;BKS BOSTIK Bielsko-Bia³a;2020/2021
Magdalena Janiuk;BKS BOSTIK Bielsko-Bia³a;2020/2021
Andrea Kossanyiova;BKS BOSTIK Bielsko-Bia³a;2020/2021
Dagmara D¹browska;BKS BOSTIK Bielsko-Bia³a;2020/2021
Martyna Œwirad;BKS BOSTIK Bielsko-Bia³a;2020/2021
Kinga Drabek;BKS BOSTIK Bielsko-Bia³a;2020/2021
Gabriela Orvosova;BKS BOSTIK Bielsko-Bia³a;2020/2021
Dominika Witowska;BKS BOSTIK Bielsko-Bia³a;2020/2021
Weronika Szlagowska;BKS BOSTIK Bielsko-Bia³a;2020/2021
Natalia Gajewska;BKS BOSTIK Bielsko-Bia³a;2020/2021
Gabriela Polañska;Developres SkyRes Rzeszów;2020/2021
Kiera Van Ryk;Developres SkyRes Rzeszów;2020/2021
Magdalena Grabka;Developres SkyRes Rzeszów;2020/2021
Marta £yczakowska;Developres SkyRes Rzeszów;2020/2021
Aleksandra Rasiñska;Developres SkyRes Rzeszów;2020/2021
Jelena Blagojeviæ;Developres SkyRes Rzeszów;2020/2021
Anna Obia³a;Developres SkyRes Rzeszów;2020/2021
Anna Kaczmar;Developres SkyRes Rzeszów;2020/2021
Zuzanna Efimienko-M³otkowska;Developres SkyRes Rzeszów;2020/2021
Alexandra Laziæ;Developres SkyRes Rzeszów;2020/2021
Juliette Fidon-Lebleu;Developres SkyRes Rzeszów;2020/2021
Aleksandra Krzos;Developres SkyRes Rzeszów;2020/2021
Daria Przyby³a;Developres SkyRes Rzeszów;2020/2021
Maja Tokarska;DPD I£Capital Legionovia Legionowo;2020/2021
Julie Oliveira Souza;DPD I£Capital Legionovia Legionowo;2020/2021
Jessica Rivero Marin;DPD I£Capital Legionovia Legionowo;2020/2021
Olivia Ró¿añski;DPD I£Capital Legionovia Legionowo;2020/2021
Daria Szczyrba;DPD I£Capital Legionovia Legionowo;2020/2021
Zana Zdovc Sporer;DPD I£Capital Legionovia Legionowo;2020/2021
Shelly Stafford;DPD I£Capital Legionovia Legionowo;2020/2021
Izabela Lemañczyk;DPD I£Capital Legionovia Legionowo;2020/2021
Diana D¹browska;DPD I£Capital Legionovia Legionowo;2020/2021
Hanna Tylska;DPD I£Capital Legionovia Legionowo;2020/2021
Maja Szymañska;DPD I£Capital Legionovia Legionowo;2020/2021
Klaudia Kulig;DPD I£Capital Legionovia Legionowo;2020/2021
Paulina Majkowska;DPD I£Capital Legionovia Legionowo;2020/2021
Alicja Grabka;DPD I£Capital Legionovia Legionowo;2020/2021
Marta Matejko;DPD I£Capital Legionovia Legionowo;2020/2021
Ana Bjelica;E.LECLERC MOYA Radomka Radom;2020/2021
Samara Rodrigues De Almeida;E.LECLERC MOYA Radomka Radom;2020/2021
Bruna Honorio Marques;E.LECLERC MOYA Radomka Radom;2020/2021
Klaudia Laskowska;E.LECLERC MOYA Radomka Radom;2020/2021
Agata Witkowska;E.LECLERC MOYA Radomka Radom;2020/2021
Izabela Ba³ucka;E.LECLERC MOYA Radomka Radom;2020/2021
Andressa Picussa;E.LECLERC MOYA Radomka Radom;2020/2021
Janisa Johnson;E.LECLERC MOYA Radomka Radom;2020/2021
Justyna £ukasik;E.LECLERC MOYA Radomka Radom;2020/2021
Julia K¹kol;E.LECLERC MOYA Radomka Radom;2020/2021
Renata Bia³a;E.LECLERC MOYA Radomka Radom;2020/2021
Paulina Zaborowska;E.LECLERC MOYA Radomka Radom;2020/2021
Kornelia Moskwa;E.LECLERC MOYA Radomka Radom;2020/2021
Katarzyna Skorupa;E.LECLERC MOYA Radomka Radom;2020/2021
Zuzanna Zieliñska;E.LECLERC MOYA Radomka Radom;2020/2021
Judyta Gawlak;Enea PTPS Pi³a;2020/2021
Angelika Wystel;Enea PTPS Pi³a;2020/2021
Julia Rajewska;Enea PTPS Pi³a;2020/2021
Maja Pelczarska;Enea PTPS Pi³a;2020/2021
Patrycja G¹dek;Enea PTPS Pi³a;2020/2021
Gabriela Ponikowska;Enea PTPS Pi³a;2020/2021
Alina Bartkowska;Enea PTPS Pi³a;2020/2021
Anna Bodasiñska;Enea PTPS Pi³a;2020/2021
Anna Paw³owska;Enea PTPS Pi³a;2020/2021
Koleta £yszkiewicz;Enea PTPS Pi³a;2020/2021
Ewelina Polak;Energa MKS Kalisz;2020/2021
Monika Ptak;Energa MKS Kalisz;2020/2021
Karolina Bednarek;Energa MKS Kalisz;2020/2021
Julia Szczurowska;Energa MKS Kalisz;2020/2021
Julia Papszun;Energa MKS Kalisz;2020/2021
Magdalena Damaske-Dawid;Energa MKS Kalisz;2020/2021
Zuzanna Wawrzyniak;Energa MKS Kalisz;2020/2021
Marta Budnik;Energa MKS Kalisz;2020/2021
Aleksandra Gromadowska;Energa MKS Kalisz;2020/2021
Monika Ga³kowska;Energa MKS Kalisz;2020/2021
Emilia Mucha;Energa MKS Kalisz;2020/2021
Julia Mazur;Energa MKS Kalisz;2020/2021
Justyna £ysiak;Energa MKS Kalisz;2020/2021
Patrycja Chrzan;Energa MKS Kalisz;2020/2021
Oliwia Ba³uk;Energa MKS Kalisz;2020/2021
Sylwia Kucharska;Energa MKS Kalisz;2020/2021
Maria Stenzel;Grot Budowlani £ódŸ;2020/2021
Julia Nowicka;Grot Budowlani £ódŸ;2020/2021
Oliwia Michalak;Grot Budowlani £ódŸ;2020/2021
Ma³gorzata Lisiak;Grot Budowlani £ódŸ;2020/2021
Anna Lewandowska;Grot Budowlani £ódŸ;2020/2021
Zuzanna Górecka;Grot Budowlani £ódŸ;2020/2021
Weronika Centka;Grot Budowlani £ódŸ;2020/2021
Veronica Jones-Perry;Grot Budowlani £ódŸ;2020/2021
Monika Fedusio;Grot Budowlani £ódŸ;2020/2021
Justyna Kêdziora;Grot Budowlani £ódŸ;2020/2021
Oliwia Poreda;Grot Budowlani £ódŸ;2020/2021
Paulina Damaske;Grot Budowlani £ódŸ;2020/2021
Martyna Grajber;Grupa Azoty Chemik Police;2020/2021
Marlena Kowalewska;Grupa Azoty Chemik Police;2020/2021
Agnieszka Korneluk;Grupa Azoty Chemik Police;2020/2021
Jovana Brakocevic-Canzian;Grupa Azoty Chemik Police;2020/2021
Katarzyna Po³eæ;Grupa Azoty Chemik Police;2020/2021
Indy Baijens;Grupa Azoty Chemik Police;2020/2021
Iga Wasilewska;Grupa Azoty Chemik Police;2020/2021
Wilma Salas Rosell;Grupa Azoty Chemik Police;2020/2021
Martyna £ukasik;Grupa Azoty Chemik Police;2020/2021
Olga Strantzali;Grupa Azoty Chemik Police;2020/2021
Paulina Maj-Erwardt;Grupa Azoty Chemik Police;2020/2021
Natalia Mêdrzyk;Grupa Azoty Chemik Police;2020/2021
Aleksandra ¯urawska;Grupa Azoty Chemik Police;2020/2021
Paulina Ba³dyga;Grupa Azoty Chemik Police;2020/2021
Sinead Jack Kisal;Grupa Azoty Chemik Police;2020/2021
Sonia Kubacka;Grupa Azoty Chemik Police;2020/2021
Martyna Gorzkiewicz;Joker Œwiecie;2020/2021
Katarzyna Urbanowicz;Joker Œwiecie;2020/2021
Katarzyna Marcyniuk;Joker Œwiecie;2020/2021
Adrianna Kukulska;Joker Œwiecie;2020/2021
Paulina Brzoska;Joker Œwiecie;2020/2021
Agata Nowak;Joker Œwiecie;2020/2021
Joanna Sikorska;Joker Œwiecie;2020/2021
Katarzyna Wenerska;Joker Œwiecie;2020/2021
Aleksandra Muszyñska;Joker Œwiecie;2020/2021
Pola Nowacka;Joker Œwiecie;2020/2021
Natalia Skrzypkowska;Joker Œwiecie;2020/2021
Wiktoria Kowalska;Joker Œwiecie;2020/2021
Adrianna Muszyñska;Joker Œwiecie;2020/2021
Oliwia Urban;Joker Œwiecie;2020/2021
Magdalena Jurczyk;Joker Œwiecie;2020/2021
Katarina Osadchuk;£KS Commercecon £ódŸ;2020/2021
Joanna Pacak;£KS Commercecon £ódŸ;2020/2021
Aleksandra Wójcik;£KS Commercecon £ódŸ;2020/2021
Katarina Lazoviæ;£KS Commercecon £ódŸ;2020/2021
Aleksandra Szczepañska;£KS Commercecon £ódŸ;2020/2021
Nadja Ninkoviæ;£KS Commercecon £ódŸ;2020/2021
Agata Wawrzyñczyk;£KS Commercecon £ódŸ;2020/2021
Britt Bongaerts;£KS Commercecon £ódŸ;2020/2021
Krystyna Strasz;£KS Commercecon £ódŸ;2020/2021
Wiktoria Lach;£KS Commercecon £ódŸ;2020/2021
Klaudia Alagierska-Szczepaniak;£KS Commercecon £ódŸ;2020/2021
Oliwia Laszczyk;£KS Commercecon £ódŸ;2020/2021
Katarzyna Zaroœliñska-Król;£KS Commercecon £ódŸ;2020/2021
Natalia Dró¿d¿;£KS Commercecon £ódŸ;2020/2021
Ann Kalandadze;£KS Commercecon £ódŸ;2020/2021
Magdalena Saad;£KS Commercecon £ódŸ;2020/2021
Alexandra Dascalu;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Monika Jag³a;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Marta Pol;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Magdalena Hawry³a;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Julia Reszelewska;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Magdalena Mazurek;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Ewelina ¯urowska;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Paulina Reiter;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Zuzanna Kuligowska;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Natalia Lijewska;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Kinga Ró¿yñska;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Agata Michalewicz;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Regiane Bidias;Polskie Przetwory Pa³ac Bydgoszcz;2020/2021
Marta Wellna;#VolleyWroc³aw;2021/2022
Aleksandra Gromadowska;#VolleyWroc³aw;2021/2022
Magdalena Hawry³a;#VolleyWroc³aw;2021/2022
Andrea Kossanyiova;#VolleyWroc³aw;2021/2022
Izabela Ba³ucka;#VolleyWroc³aw;2021/2022
Adrianna Szady;#VolleyWroc³aw;2021/2022
Julia Pañko;#VolleyWroc³aw;2021/2022
Joanna Chor¹¿a;#VolleyWroc³aw;2021/2022
Nina Kociæ;#VolleyWroc³aw;2021/2022
Anna Bodasiñska;#VolleyWroc³aw;2021/2022
Anna Kaczmar;#VolleyWroc³aw;2021/2022
Yunieska Robles Batista;#VolleyWroc³aw;2021/2022
Karolina Fedorek;#VolleyWroc³aw;2021/2022
Julia Stancelewska;#VolleyWroc³aw;2021/2022
Aleksandra Kaza³a;BKS BOSTIK Bielsko-Bia³a;2021/2022
Ewelina Polak;BKS BOSTIK Bielsko-Bia³a;2021/2022
Martyna Borowczak;BKS BOSTIK Bielsko-Bia³a;2021/2022
Julia Mazur;BKS BOSTIK Bielsko-Bia³a;2021/2022
Magdalena Janiuk;BKS BOSTIK Bielsko-Bia³a;2021/2022
Karina Chmielewska;BKS BOSTIK Bielsko-Bia³a;2021/2022
Dominika Pierzcha³a;BKS BOSTIK Bielsko-Bia³a;2021/2022
Martyna Œwirad;BKS BOSTIK Bielsko-Bia³a;2021/2022
Kinga Drabek;BKS BOSTIK Bielsko-Bia³a;2021/2022
Koleta £yszkiewicz;BKS BOSTIK Bielsko-Bia³a;2021/2022
Gabriela Orvosova;BKS BOSTIK Bielsko-Bia³a;2021/2022
Alina Bartkowska;BKS BOSTIK Bielsko-Bia³a;2021/2022
Weronika Szlagowska;BKS BOSTIK Bielsko-Bia³a;2021/2022
Gabriela Polañska;Developres BELLA DOLINA Rzeszów;2021/2022
Bruna Honorio Marques;Developres BELLA DOLINA Rzeszów;2021/2022
Marta £yczakowska;Developres BELLA DOLINA Rzeszów;2021/2022
Katarzyna Bagrowska;Developres BELLA DOLINA Rzeszów;2021/2022
Jelena Blagojeviæ;Developres BELLA DOLINA Rzeszów;2021/2022
Anna Obia³a;Developres BELLA DOLINA Rzeszów;2021/2022
Katarzyna Wenerska;Developres BELLA DOLINA Rzeszów;2021/2022
Aleksandra Szczyg³owska;Developres BELLA DOLINA Rzeszów;2021/2022
Dominika Witowska;Developres BELLA DOLINA Rzeszów;2021/2022
Kara Bajema;Developres BELLA DOLINA Rzeszów;2021/2022
Izabella Rapacz;Developres BELLA DOLINA Rzeszów;2021/2022
Malwina Smarzek;Developres BELLA DOLINA Rzeszów;2021/2022
Daria Przyby³a;Developres BELLA DOLINA Rzeszów;2021/2022
Ann Kalandadze;Developres BELLA DOLINA Rzeszów;2021/2022
Magdalena Jurczyk;Developres BELLA DOLINA Rzeszów;2021/2022
Julia Biñczycka;Developres BELLA DOLINA Rzeszów;2021/2022
Natalia Murek;E.LECLERC MOYA Radomka Radom;2021/2022
Aleksandra Szczepañska;E.LECLERC MOYA Radomka Radom;2021/2022
Agata Witkowska;E.LECLERC MOYA Radomka Radom;2021/2022
Aleksandra Wójcik;E.LECLERC MOYA Radomka Radom;2021/2022
Katarzyna Zaroœliñska-Król;E.LECLERC MOYA Radomka Radom;2021/2022
Freya Aelbrecht;E.LECLERC MOYA Radomka Radom;2021/2022
Zuzanna Efimienko-M³otkowska;E.LECLERC MOYA Radomka Radom;2021/2022
Kamila Kobus;E.LECLERC MOYA Radomka Radom;2021/2022
Alexandra Laziæ;E.LECLERC MOYA Radomka Radom;2021/2022
Renata Bia³a;E.LECLERC MOYA Radomka Radom;2021/2022
Kornelia Moskwa;E.LECLERC MOYA Radomka Radom;2021/2022
Agnieszka Adamek;E.LECLERC MOYA Radomka Radom;2021/2022
Katarzyna Skorupa;E.LECLERC MOYA Radomka Radom;2021/2022
Ewa Kwiatkowska;Energa MKS Kalisz;2021/2022
Karolina Dru¿kowska;Energa MKS Kalisz;2021/2022
Ewelina ¯urowska;Energa MKS Kalisz;2021/2022
Oriana Miechowicz;Energa MKS Kalisz;2021/2022
Klara Kempfi;Energa MKS Kalisz;2021/2022
Justyna £ukasik;Energa MKS Kalisz;2021/2022
Monika Ga³kowska;Energa MKS Kalisz;2021/2022
Emilia Mucha;Energa MKS Kalisz;2021/2022
Aleksandra Cygan;Energa MKS Kalisz;2021/2022
Kinga Wysokiñska;Energa MKS Kalisz;2021/2022
Oliwia Ba³uk;Energa MKS Kalisz;2021/2022
Aleksandra Dudek;Energa MKS Kalisz;2021/2022
Sonia Kubacka;Energa MKS Kalisz;2021/2022
Sylwia Kucharska;Energa MKS Kalisz;2021/2022
Natalia Gajewska;Energa MKS Kalisz;2021/2022
Justyna Kêdziora;Grot Budowlani £ódŸ;2021/2022
Ma³gorzata Lisiak;Grot Budowlani £ódŸ;2021/2022
Anna Lewandowska;Grot Budowlani £ódŸ;2021/2022
Martyna £azowska;Grot Budowlani £ódŸ;2021/2022
Zuzanna Górecka;Grot Budowlani £ódŸ;2021/2022
Weronika Centka;Grot Budowlani £ódŸ;2021/2022
Ana Cleger;Grot Budowlani £ódŸ;2021/2022
Monika Fedusio;Grot Budowlani £ódŸ;2021/2022
Daria Skomorowska;Grot Budowlani £ódŸ;2021/2022
Justyna £ysiak;Grot Budowlani £ódŸ;2021/2022
Maja Pelczarska;Grot Budowlani £ódŸ;2021/2022
Paulina Damaske;Grot Budowlani £ódŸ;2021/2022
Julia Szczurowska;Grot Budowlani £ódŸ;2021/2022
Maria Stenzel;Grupa Azoty Chemik Police;2021/2022
Danielle Drews;Grupa Azoty Chemik Police;2021/2022
Naiane De Almeida Rios;Grupa Azoty Chemik Police;2021/2022
Marlena Kowalewska;Grupa Azoty Chemik Police;2021/2022
Agnieszka Korneluk;Grupa Azoty Chemik Police;2021/2022
Jovana Brakocevic-Canzian;Grupa Azoty Chemik Police;2021/2022
Iga Wasilewska;Grupa Azoty Chemik Police;2021/2022
Katarzyna Po³eæ;Grupa Azoty Chemik Police;2021/2022
Martyna £ukasik;Grupa Azoty Chemik Police;2021/2022
Aleksandra Lipska;Grupa Azoty Chemik Police;2021/2022
Martyna Czyrniañska;Grupa Azoty Chemik Police;2021/2022
Aleksandra ¯urawska;Grupa Azoty Chemik Police;2021/2022
Bojana Milenkoviæ;Grupa Azoty Chemik Police;2021/2022
Marta Pol;Grupa Azoty Chemik Police;2021/2022
Maja Tokarska;I£ Capital Legionovia Legionowo;2021/2022
Gabriela Dêbowska;I£ Capital Legionovia Legionowo;2021/2022
Olivia Ró¿añski;I£ Capital Legionovia Legionowo;2021/2022
Magdalena Damaske-Dawid;I£ Capital Legionovia Legionowo;2021/2022
Daria Szczyrba;I£ Capital Legionovia Legionowo;2021/2022
Sonia Stefanik;I£ Capital Legionovia Legionowo;2021/2022
Yaprak Erkek;I£ Capital Legionovia Legionowo;2021/2022
Izabela Lemañczyk;I£ Capital Legionovia Legionowo;2021/2022
Diana D¹browska;I£ Capital Legionovia Legionowo;2021/2022
Hanna Tylska;I£ Capital Legionovia Legionowo;2021/2022
Maja Szymañska;I£ Capital Legionovia Legionowo;2021/2022
Klaudia Kulig;I£ Capital Legionovia Legionowo;2021/2022
Gyselle Silva Franco;I£ Capital Legionovia Legionowo;2021/2022
Aleksandra Gryka;I£ Capital Legionovia Legionowo;2021/2022
Alicja Grabka;I£ Capital Legionovia Legionowo;2021/2022
Judyta Gawlak;Joker Œwiecie;2021/2022
Angelika Wystel;Joker Œwiecie;2021/2022
Amelia Senica;Joker Œwiecie;2021/2022
Paulina Brzoska;Joker Œwiecie;2021/2022
Agata Michalewicz;Joker Œwiecie;2021/2022
Vangeliya Rachkovska;Joker Œwiecie;2021/2022
Natalia Skrzypkowska;Joker Œwiecie;2021/2022
Agata Nowak;Joker Œwiecie;2021/2022
Joanna Sikorska;Joker Œwiecie;2021/2022
Andressa Picussa;Joker Œwiecie;2021/2022
Maria Luisa Oliveira;Joker Œwiecie;2021/2022
Monika Jag³a;Joker Œwiecie;2021/2022
Paulina Zaborowska;Joker Œwiecie;2021/2022
Julia K¹kol;Joker Œwiecie;2021/2022
Martyna Grajber;£KS Commercecon £ódŸ;2021/2022
Paulina Maj-Erwardt;£KS Commercecon £ódŸ;2021/2022
Joanna Pacak;£KS Commercecon £ódŸ;2021/2022
Pietra Jukoski;£KS Commercecon £ódŸ;2021/2022
Kamila Witkowska;£KS Commercecon £ódŸ;2021/2022
Valentina Diouf;£KS Commercecon £ódŸ;2021/2022
Weronika Sobiczewska;£KS Commercecon £ódŸ;2021/2022
Ivna Colombo;£KS Commercecon £ódŸ;2021/2022
Roberta Ratzke;£KS Commercecon £ódŸ;2021/2022
Krystyna Strasz;£KS Commercecon £ódŸ;2021/2022
Angelika Gajer;£KS Commercecon £ódŸ;2021/2022
Klaudia Alagierska-Szczepaniak;£KS Commercecon £ódŸ;2021/2022
Julita Piasecka;£KS Commercecon £ódŸ;2021/2022
Veronica Jones-Perry;£KS Commercecon £ódŸ;2021/2022
Zuzanna Pieniak;£KS Commercecon £ódŸ;2021/2022
Alicja Jaryszek;£KS Commercecon £ódŸ;2021/2022
Patrycja Balmas;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Aleksandra Justka;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Magdalena Mazurek;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Magdalena Saad;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Zuzanna Wawrzyniak;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Mariana Cassemiro;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Paulina Majkowska;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Ani Bozdeva;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Kinga Ró¿yñska;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Dominika Surlit;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Majka Szczepañska-Pogoda;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Paulina Ba³dyga;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Leticia Hage;Polskie Przetwory Pa³ac Bydgoszcz;2021/2022
Marta Orzy³owska;UNI Opole;2021/2022
Kinga Stronias;UNI Opole;2021/2022
Regiane Bidias;UNI Opole;2021/2022
Vivian Pellegrino;UNI Opole;2021/2022
Gabriela Borawska;UNI Opole;2021/2022
Marta Pamu³a;UNI Opole;2021/2022
Aleksandra Muszyñska;UNI Opole;2021/2022
Adriana Adamek;UNI Opole;2021/2022
Weronika Wo³odko;UNI Opole;2021/2022
Gabriela Makarowska-Kulej;UNI Opole;2021/2022
Oliwia Sieradzka;UNI Opole;2021/2022
Anna B¹czyñska;UNI Opole;2021/2022
